group_to_be_attached,central_atom_index,centroid
CH3,0,[-0.3333438816361074 0.9428053121274683 0.0]
H,0,[0.0 0.0 0.0]
C6H6,0,[-0.4996972054098349 -0.8662000072918606 0.0005002731071965034]
OCH2CH3,0,[0.2963977358877898 0.6427038809562062 0.7064560167232087]
NH2,0,[-0.8188898463857652 -0.4125980569067612 -0.3989765192628046]
CH2CH3,0,[0.15335702167095097 0.7264575656614969 0.6698813545676483]
OCH3,0,[0.2963977358877898 0.6427038809562062 0.7064560167232087]
